"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Výsledky [1-day view all conversions]","Výsledky [1-day click all conversions]","Výsledky [7-day click all conversions]","Result indicator",Dosah,Frekvencia,"Cena za výsledky","Cena za výsledky [1-day view all conversions]","Cena za výsledky [1-day click all conversions]","Cena za výsledky [7-day click all conversions]","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Pozretia cieľovej stránky [1-day view]","Pozretia cieľovej stránky [1-day click]","Pozretia cieľovej stránky [7-day click]","Cena za pozretie cieľovej stránky (EUR)",cost_per_action_type_1d_view_all_conversions:omni_landing_page_view,cost_per_action_type_1d_click_all_conversions:omni_landing_page_view,cost_per_action_type_7d_click_all_conversions:omni_landing_page_view,"Hodnota konverzie nákupov na webe","Hodnota konverzie nákupov na webe [1-day view]","Hodnota konverzie nákupov na webe [1-day click]","Hodnota konverzie nákupov na webe [7-day click]",Nákupy,"Nákupy [1-day view]","Nákupy [1-day click]","Nákupy [7-day click]","Purchases conversion value","Purchases conversion value [1-day view]","Purchases conversion value [1-day click]","Purchases conversion value [7-day click]","Results (initial)","Results (initial) indicator"
2026-08-08,2026-08-08,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,2026-08-08,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",3,1,2,2,actions:offsite_conversion.fb_pixel_purchase,3098,1.828922,11.89,,17.835,17.835,"Using ad set budget",0,35.67,Prebieha,5666,6.295447,87,,0.41,1.535475,182,3.212143,0.195989,61,,,,0.584754,,,,149.67,49.89,99.78,99.78,3,1,2,2,149.67,49.89,99.78,99.78,,
2026-08-08,2026-08-08,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,2026-08-08,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,2026-08-08,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,2026-08-08,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,2026-08-07,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,2026-08-07,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",2,1,1,1,actions:offsite_conversion.fb_pixel_purchase,3116,1.976573,16.27,,32.54,32.54,"Using ad set budget",0,32.54,Prebieha,6159,5.283325,51,,0.638039,0.828057,115,1.867186,0.282957,33,,,,0.986061,,,,99.78,49.89,49.89,49.89,2,1,1,1,99.78,49.89,49.89,49.89,,
2026-08-07,2026-08-07,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,2026-08-07,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,2026-08-07,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,2026-08-07,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2026-08-06,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2026-08-06,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",5,3,2,2,actions:offsite_conversion.fb_pixel_purchase,3170,1.997476,7.722,,19.305,19.305,"Using ad set budget",0,38.61,Prebieha,6332,6.097599,99,,0.39,1.563487,181,2.858497,0.213315,63,,,,0.612857,,,,244.45,144.67,99.78,99.78,5,3,2,2,244.45,144.67,99.78,99.78,,
2026-08-06,2026-08-06,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2026-08-06,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2026-08-06,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2026-08-06,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,2026-08-05,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,2026-08-05,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,1,,,actions:offsite_conversion.fb_pixel_purchase,2506,2.241421,30.92,,,,"Using ad set budget",0,30.92,Prebieha,5617,5.504718,46,,0.672174,0.818943,85,1.513263,0.363765,29,,,,1.066207,,,,49.89,49.89,,,1,1,,,49.89,49.89,,,,
2026-08-05,2026-08-05,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,2026-08-05,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,2026-08-05,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,2026-08-05,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-04,2026-08-04,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-04,2026-08-04,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,,1,1,actions:offsite_conversion.fb_pixel_purchase,3319,2.059054,39.53,,39.53,39.53,"Using ad set budget",0,39.53,Prebieha,6834,5.784314,91,,0.434396,1.331577,188,2.750951,0.210266,57,,,,0.693509,,,,40.51,,40.51,40.51,1,,1,1,40.51,,40.51,40.51,,
