"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Result indicator",Dosah,Frekvencia,"Cena za výsledky","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Hodnota konverzie nákupov na webe",Nákupy,"Purchases conversion value","Results (initial)","Results (initial) indicator"
2026-08-26,2026-08-26,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-26,2026-08-26,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",6,actions:offsite_conversion.fb_pixel_purchase,3888,2.171811,9.40666667,"Using ad set budget",0,56.44,Prebieha,8444,6.684036,118,,0.478305,1.397442,223,2.640928,0.253094,72,0.783889,398.54,6,398.54,,
2026-08-26,2026-08-26,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-26,2026-08-26,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-26,2026-08-26,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-26,2026-08-26,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-25,2026-08-25,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-25,2026-08-25,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,4481,2.008257,16.625,"Using ad set budget",0,66.5,Prebieha,8999,7.38971,178,,0.373596,1.977998,356,3.955995,0.186798,98,0.678571,260.22,4,260.22,,
2026-08-25,2026-08-25,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-25,2026-08-25,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-25,2026-08-25,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-25,2026-08-25,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-24,2026-08-24,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-24,2026-08-24,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,4280,1.993224,54.22,"Using ad set budget",0,54.22,Prebieha,8531,6.355644,128,,0.423594,1.50041,284,3.329035,0.190915,86,0.630465,126.63,1,126.63,,
2026-08-24,2026-08-24,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-24,2026-08-24,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-24,2026-08-24,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-24,2026-08-24,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-23,2026-08-23,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-23,2026-08-23,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,3913,1.967289,7.61571429,"Using ad set budget",0,53.31,Prebieha,7698,6.925175,132,,0.403864,1.714731,286,3.715251,0.186399,81,0.658148,510.39,7,510.39,,
2026-08-23,2026-08-23,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-23,2026-08-23,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-23,2026-08-23,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-23,2026-08-23,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-22,2026-08-22,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-22,2026-08-22,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,2863,1.766678,4.9,"Using ad set budget",0,39.2,Prebieha,5058,7.750099,101,,0.388119,1.996837,215,4.250692,0.182326,59,0.664407,648.17,8,648.17,,
2026-08-22,2026-08-22,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-22,2026-08-22,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-22,2026-08-22,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-22,2026-08-22,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-21,2026-08-21,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-21,2026-08-21,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,3294,1.93898,40.54,"Using ad set budget",0,40.54,Prebieha,6387,6.347268,106,,0.382453,1.659621,245,3.835917,0.165469,60,0.675667,49.89,1,49.89,,
2026-08-21,2026-08-21,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-21,2026-08-21,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-21,2026-08-21,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-21,2026-08-21,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-20,2026-08-20,"(H) Promo postu",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,
2026-08-20,2026-08-20,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,5709,1.694868,20.30333333,"Using ad set budget",0,60.91,Prebieha,9676,6.294957,197,,0.309188,2.035965,477,4.929723,0.127694,107,0.569252,273.31,3,273.31,,
2026-08-20,2026-08-20,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-20,2026-08-20,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
2026-08-20,2026-08-20,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,
